Country,NOC,Total,gdp_per_capita,population
United States,USA,121,56115.71843,321418820
Great Britain,GBR,67,43875.96961,65138232
China,CHN,70,8027.68381,1371220000
Russia,RUS,55,9092.580536,144096812
Germany,GER,42,41313.31399,81413145
Japan,JPN,41,32477.21514,126958472
France,FRA,42,36205.5681,66808385
South Korea,KOR,21,27221.52405,50617045
Italy,ITA,28,29957.80432,60802085
Australia,AUS,29,56310.96299,23781169
Netherlands,NED,19,44299.76809,16936520
Hungary,HUN,15,12363.54346,9844686
Brazil,BRA,19,8538.589975,207847528
Spain,ESP,17,25831.58231,46418269
Kenya,KEN,13,1376.712829,46050302
Jamaica,JAM,11,5232.024583,2725941
Croatia,CRO,10,11535.82936,4224404
New Zealand,NZL,18,37807.96728,4595700
Canada,CAN,22,43248.52991,35851774
Uzbekistan,UZB,13,2132.070368,31299500
Kazakhstan,KAZ,17,10509.98107,17544126
Colombia,COL,8,6056.147717,48228704
Switzerland,SUI,7,80945.07922,8286976
Greece,GRE,6,18002.23058,10823732
Argentina,ARG,4,13431.87834,43416755
Denmark,DEN,15,51989.29347,5676002
Sweden,SWE,11,50579.67365,9798871
South Africa,RSA,10,5723.973357,54956920
Ukraine,UKR,11,2114.954716,45198200
Poland,POL,11,12554.54755,37999494
Belgium,BEL,6,40324.02777,11285721
Thailand,THA,6,5814.769764,67959359
Slovakia,SVK,4,16088.27759,5424050
Georgia,GEO,7,3795.973308,3679000
Azerbaijan,AZE,18,5496.34464,9651349
Belarus,BLR,9,5740.456495,9513000
Turkey,TUR,8,9125.68759,78665830
Armenia,ARM,4,3489.12769,3017712
Czech Republic,CZE,10,17548.33821,10551219
Ethiopia,ETH,8,619.1694065,99390750
Slovenia,SLO,4,20726.53989,2063768
Indonesia,INA,3,3346.487039,257563815
Bahrain,BRN,2,22600.2141,1377237
Vietnam,VIE,2,2111.138024,91703800
Bahamas,BAH,2,22817.23086,388019
Ivory Coast,CIV,2,1398.989958,22701556
Fiji,FIJ,1,4960.519954,892145
Jordan,JOR,1,4940.045836,7594547
Singapore,SIN,1,52888.74467,5535002
Tajikistan,TJK,1,925.9118877,8481855
Malaysia,MAS,5,9768.32686,30331007
Mexico,MEX,5,9005.024265,127017224
Algeria,ALG,2,4206.031232,39666519
Ireland,IRL,2,61133.67243,4640703
Lithuania,LTU,4,14147.04938,2910199
Bulgaria,BUL,3,6993.47736,7177991
India,IND,2,1598.259034,1311050527
Mongolia,MGL,2,3967.829386,2959134
Burundi,BDI,1,277.0683092,11178921
Grenada,GRN,1,9212.020352,106825
Niger,NIG,1,358.958152,19899120
Philippines,PHI,1,2904.202082,100699395
Qatar,QAT,1,73653.39443,2235355
Norway,NOR,4,74400.36978,5195921
Egypt,EGY,3,3614.746766,91508084
Tunisia,TUN,3,3872.512084,11107800
Israel,ISR,2,35728.0935,8380400
Austria,AUT,1,43774.98517,8611088
Dominican Republic,DOM,1,6468.473492,10528391
Estonia,EST,1,17118.5042,1311998
Finland,FIN,1,42311.03623,5482013
Morocco,MAR,1,2878.201342,34377511
Nigeria,NGR,1,2640.290739,182201962
Portugal,POR,1,19222.15008,10348648
United Arab Emirates,UAE,1,40438.76293,9156963
